time,CH
1/1/1980 0:00,-6.265
1/1/1980 1:00,-6.584
1/1/1980 2:00,-6.968
1/1/1980 3:00,-7.359
1/1/1980 4:00,-7.845
1/1/1980 5:00,-8.11
1/1/1980 6:00,-7.994
1/1/1980 7:00,-7.694
1/1/1980 8:00,-6.656
1/1/1980 9:00,-4.75
1/1/1980 10:00,-3.306
1/1/1980 11:00,-2.548
1/1/1980 12:00,-2.231
1/1/1980 13:00,-2.339
1/1/1980 14:00,-2.929
1/1/1980 15:00,-4.005
1/1/1980 16:00,-4.784
1/1/1980 17:00,-5.14
1/1/1980 18:00,-5.379
1/1/1980 19:00,-5.598
1/1/1980 20:00,-5.795
1/1/1980 21:00,-6.058
1/1/1980 22:00,-6.501
1/1/1980 23:00,-7.026
1/2/1980 0:00,-7.469
1/2/1980 1:00,-7.932
1/2/1980 2:00,-8.613
1/2/1980 3:00,-9.235
1/2/1980 4:00,-9.61
1/2/1980 5:00,-9.885
1/2/1980 6:00,-10.09
1/2/1980 7:00,-9.885
1/2/1980 8:00,-8.735
1/2/1980 9:00,-7.327
1/2/1980 10:00,-6.22
1/2/1980 11:00,-5.485
1/2/1980 12:00,-4.915
1/2/1980 13:00,-4.605
1/2/1980 14:00,-4.74
1/2/1980 15:00,-5.536
1/2/1980 16:00,-6.24
1/2/1980 17:00,-6.468
1/2/1980 18:00,-6.464
1/2/1980 19:00,-6.48
1/2/1980 20:00,-6.706
1/2/1980 21:00,-6.856
1/2/1980 22:00,-6.999
1/2/1980 23:00,-7.104
1/3/1980 0:00,-7.102
1/3/1980 1:00,-7.048
1/3/1980 2:00,-7.155
1/3/1980 3:00,-7.341
1/3/1980 4:00,-7.466
1/3/1980 5:00,-7.542
1/3/1980 6:00,-7.778
1/3/1980 7:00,-8.157
1/3/1980 8:00,-7.735
1/3/1980 9:00,-6.26
1/3/1980 10:00,-4.915
1/3/1980 11:00,-4.192
1/3/1980 12:00,-3.914
1/3/1980 13:00,-3.901
1/3/1980 14:00,-4.367
1/3/1980 15:00,-5.717
1/3/1980 16:00,-6.99
1/3/1980 17:00,-7.618
1/3/1980 18:00,-8.009
1/3/1980 19:00,-8.206
1/3/1980 20:00,-8.231
1/3/1980 21:00,-8.013
1/3/1980 22:00,-7.732
1/3/1980 23:00,-7.67
1/4/1980 0:00,-7.67
1/4/1980 1:00,-7.595
1/4/1980 2:00,-7.508
1/4/1980 3:00,-7.497
1/4/1980 4:00,-7.49
1/4/1980 5:00,-7.353
1/4/1980 6:00,-7.06
1/4/1980 7:00,-6.542
1/4/1980 8:00,-5.228
1/4/1980 9:00,-3.374
1/4/1980 10:00,-2.123
1/4/1980 11:00,-1.314
1/4/1980 12:00,-0.685
1/4/1980 13:00,-0.262
1/4/1980 14:00,-0.143
1/4/1980 15:00,-0.213
1/4/1980 16:00,-0.25
1/4/1980 17:00,-0.202
1/4/1980 18:00,-0.127
1/4/1980 19:00,-0.071
1/4/1980 20:00,-0.056
1/4/1980 21:00,-0.058
1/4/1980 22:00,0.004
1/4/1980 23:00,0.045
1/5/1980 0:00,0.068
1/5/1980 1:00,0.101
1/5/1980 2:00,0.106
1/5/1980 3:00,-0.01
1/5/1980 4:00,-0.177
1/5/1980 5:00,-0.448
1/5/1980 6:00,-0.668
1/5/1980 7:00,-0.731
1/5/1980 8:00,-0.639
1/5/1980 9:00,-0.423
1/5/1980 10:00,-0.263
1/5/1980 11:00,-0.213
1/5/1980 12:00,-0.167
1/5/1980 13:00,-0.158
1/5/1980 14:00,-0.301
1/5/1980 15:00,-0.765
1/5/1980 16:00,-1.192
1/5/1980 17:00,-1.348
1/5/1980 18:00,-1.485
1/5/1980 19:00,-1.645
1/5/1980 20:00,-1.835
1/5/1980 21:00,-2.323
1/5/1980 22:00,-2.787
1/5/1980 23:00,-3.07
