# Renewables.ninja Weather (Point API) - 42.705, 23.439 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Sofia, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Sofia", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "42.70493101870273", "lon": "23.439368849522324", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,swgdn
2019-01-01 00:00,2019-01-01 02:00,0
2019-01-01 01:00,2019-01-01 03:00,0
2019-01-01 02:00,2019-01-01 04:00,0
2019-01-01 03:00,2019-01-01 05:00,0
2019-01-01 04:00,2019-01-01 06:00,0
2019-01-01 05:00,2019-01-01 07:00,0.028
2019-01-01 06:00,2019-01-01 08:00,46.474
2019-01-01 07:00,2019-01-01 09:00,163.411
2019-01-01 08:00,2019-01-01 10:00,301.781
2019-01-01 09:00,2019-01-01 11:00,383.990
2019-01-01 10:00,2019-01-01 12:00,406.593
2019-01-01 11:00,2019-01-01 13:00,383.765
2019-01-01 12:00,2019-01-01 14:00,302.274
2019-01-01 13:00,2019-01-01 15:00,181.173
2019-01-01 14:00,2019-01-01 16:00,41.568
2019-01-01 15:00,2019-01-01 17:00,0
2019-01-01 16:00,2019-01-01 18:00,0
2019-01-01 17:00,2019-01-01 19:00,0
2019-01-01 18:00,2019-01-01 20:00,0
2019-01-01 19:00,2019-01-01 21:00,0
2019-01-01 20:00,2019-01-01 22:00,0
2019-01-01 21:00,2019-01-01 23:00,0
2019-01-01 22:00,2019-01-02 00:00,0
2019-01-01 23:00,2019-01-02 01:00,0
2019-01-02 00:00,2019-01-02 02:00,0
2019-01-02 01:00,2019-01-02 03:00,0
2019-01-02 02:00,2019-01-02 04:00,0
2019-01-02 03:00,2019-01-02 05:00,0
2019-01-02 04:00,2019-01-02 06:00,0
2019-01-02 05:00,2019-01-02 07:00,0.042
2019-01-02 06:00,2019-01-02 08:00,60.415
2019-01-02 07:00,2019-01-02 09:00,191.507
2019-01-02 08:00,2019-01-02 10:00,287.901
2019-01-02 09:00,2019-01-02 11:00,331.209
2019-01-02 10:00,2019-01-02 12:00,325.563
2019-01-02 11:00,2019-01-02 13:00,265.588
2019-01-02 12:00,2019-01-02 14:00,159.556
2019-01-02 13:00,2019-01-02 15:00,73.369
2019-01-02 14:00,2019-01-02 16:00,14.602
2019-01-02 15:00,2019-01-02 17:00,0
2019-01-02 16:00,2019-01-02 18:00,0
2019-01-02 17:00,2019-01-02 19:00,0
2019-01-02 18:00,2019-01-02 20:00,0
2019-01-02 19:00,2019-01-02 21:00,0
2019-01-02 20:00,2019-01-02 22:00,0
2019-01-02 21:00,2019-01-02 23:00,0
2019-01-02 22:00,2019-01-03 00:00,0
2019-01-02 23:00,2019-01-03 01:00,0
2019-01-03 00:00,2019-01-03 02:00,0
2019-01-03 01:00,2019-01-03 03:00,0
2019-01-03 02:00,2019-01-03 04:00,0
2019-01-03 03:00,2019-01-03 05:00,0
2019-01-03 04:00,2019-01-03 06:00,0
2019-01-03 05:00,2019-01-03 07:00,0.018
2019-01-03 06:00,2019-01-03 08:00,18.594
2019-01-03 07:00,2019-01-03 09:00,47.757
2019-01-03 08:00,2019-01-03 10:00,95.272
2019-01-03 09:00,2019-01-03 11:00,153.722
2019-01-03 10:00,2019-01-03 12:00,216.688
2019-01-03 11:00,2019-01-03 13:00,183.686
2019-01-03 12:00,2019-01-03 14:00,114.465
2019-01-03 13:00,2019-01-03 15:00,55.742
2019-01-03 14:00,2019-01-03 16:00,9.814
2019-01-03 15:00,2019-01-03 17:00,0
2019-01-03 16:00,2019-01-03 18:00,0
2019-01-03 17:00,2019-01-03 19:00,0
2019-01-03 18:00,2019-01-03 20:00,0
2019-01-03 19:00,2019-01-03 21:00,0
2019-01-03 20:00,2019-01-03 22:00,0
2019-01-03 21:00,2019-01-03 23:00,0
2019-01-03 22:00,2019-01-04 00:00,0
2019-01-03 23:00,2019-01-04 01:00,0
2019-01-04 00:00,2019-01-04 02:00,0
2019-01-04 01:00,2019-01-04 03:00,0
2019-01-04 02:00,2019-01-04 04:00,0
2019-01-04 03:00,2019-01-04 05:00,0
2019-01-04 04:00,2019-01-04 06:00,0
2019-01-04 05:00,2019-01-04 07:00,0.043
2019-01-04 06:00,2019-01-04 08:00,32.620
2019-01-04 07:00,2019-01-04 09:00,108.745
2019-01-04 08:00,2019-01-04 10:00,171.295
2019-01-04 09:00,2019-01-04 11:00,195.233
2019-01-04 10:00,2019-01-04 12:00,212.646
2019-01-04 11:00,2019-01-04 13:00,214.874
2019-01-04 12:00,2019-01-04 14:00,185.413
2019-01-04 13:00,2019-01-04 15:00,112.515
2019-01-04 14:00,2019-01-04 16:00,28.385
2019-01-04 15:00,2019-01-04 17:00,0
2019-01-04 16:00,2019-01-04 18:00,0
2019-01-04 17:00,2019-01-04 19:00,0
2019-01-04 18:00,2019-01-04 20:00,0
2019-01-04 19:00,2019-01-04 21:00,0
2019-01-04 20:00,2019-01-04 22:00,0
2019-01-04 21:00,2019-01-04 23:00,0
2019-01-04 22:00,2019-01-05 00:00,0
2019-01-04 23:00,2019-01-05 01:00,0
2019-01-05 00:00,2019-01-05 02:00,0
2019-01-05 01:00,2019-01-05 03:00,0
2019-01-05 02:00,2019-01-05 04:00,0
2019-01-05 03:00,2019-01-05 05:00,0
2019-01-05 04:00,2019-01-05 06:00,0
2019-01-05 05:00,2019-01-05 07:00,0.086
2019-01-05 06:00,2019-01-05 08:00,57.630
2019-01-05 07:00,2019-01-05 09:00,190.182
2019-01-05 08:00,2019-01-05 10:00,308.412
2019-01-05 09:00,2019-01-05 11:00,401.658
2019-01-05 10:00,2019-01-05 12:00,422.197
2019-01-05 11:00,2019-01-05 13:00,385.153
2019-01-05 12:00,2019-01-05 14:00,314.468
2019-01-05 13:00,2019-01-05 15:00,194.864
2019-01-05 14:00,2019-01-05 16:00,50.781
2019-01-05 15:00,2019-01-05 17:00,0
2019-01-05 16:00,2019-01-05 18:00,0
2019-01-05 17:00,2019-01-05 19:00,0
2019-01-05 18:00,2019-01-05 20:00,0
2019-01-05 19:00,2019-01-05 21:00,0
2019-01-05 20:00,2019-01-05 22:00,0
2019-01-05 21:00,2019-01-05 23:00,0
2019-01-05 22:00,2019-01-06 00:00,0
2019-01-05 23:00,2019-01-06 01:00,0
2019-01-06 00:00,2019-01-06 02:00,0
2019-01-06 01:00,2019-01-06 03:00,0
2019-01-06 02:00,2019-01-06 04:00,0
2019-01-06 03:00,2019-01-06 05:00,0
2019-01-06 04:00,2019-01-06 06:00,0
2019-01-06 05:00,2019-01-06 07:00,0.060
2019-01-06 06:00,2019-01-06 08:00,34.616
2019-01-06 07:00,2019-01-06 09:00,109.242
2019-01-06 08:00,2019-01-06 10:00,169.877
2019-01-06 09:00,2019-01-06 11:00,197.387
2019-01-06 10:00,2019-01-06 12:00,231.948
2019-01-06 11:00,2019-01-06 13:00,233.372
2019-01-06 12:00,2019-01-06 14:00,178.709
2019-01-06 13:00,2019-01-06 15:00,105.192
2019-01-06 14:00,2019-01-06 16:00,25.655
2019-01-06 15:00,2019-01-06 17:00,0
2019-01-06 16:00,2019-01-06 18:00,0
2019-01-06 17:00,2019-01-06 19:00,0
2019-01-06 18:00,2019-01-06 20:00,0
2019-01-06 19:00,2019-01-06 21:00,0
2019-01-06 20:00,2019-01-06 22:00,0
2019-01-06 21:00,2019-01-06 23:00,0
2019-01-06 22:00,2019-01-07 00:00,0
2019-01-06 23:00,2019-01-07 01:00,0
2019-01-07 00:00,2019-01-07 02:00,0
2019-01-07 01:00,2019-01-07 03:00,0
2019-01-07 02:00,2019-01-07 04:00,0
2019-01-07 03:00,2019-01-07 05:00,0
2019-01-07 04:00,2019-01-07 06:00,0
2019-01-07 05:00,2019-01-07 07:00,0.066
2019-01-07 06:00,2019-01-07 08:00,23.581
2019-01-07 07:00,2019-01-07 09:00,87.141
2019-01-07 08:00,2019-01-07 10:00,173.473
2019-01-07 09:00,2019-01-07 11:00,226.031
2019-01-07 10:00,2019-01-07 12:00,240.556
2019-01-07 11:00,2019-01-07 13:00,214.500
2019-01-07 12:00,2019-01-07 14:00,170.018
2019-01-07 13:00,2019-01-07 15:00,101.445
2019-01-07 14:00,2019-01-07 16:00,26.118
2019-01-07 15:00,2019-01-07 17:00,0
2019-01-07 16:00,2019-01-07 18:00,0
2019-01-07 17:00,2019-01-07 19:00,0
