# Renewables.ninja Weather (Point API) - 42.705, 23.439 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Sofia, t2m in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Sofia", "t2m": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "42.70493101870273", "lon": "23.439368849522324", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m
2019-01-01 00:00,2019-01-01 02:00,-3.989
2019-01-01 01:00,2019-01-01 03:00,-4.177
2019-01-01 02:00,2019-01-01 04:00,-4.324
2019-01-01 03:00,2019-01-01 05:00,-4.417
2019-01-01 04:00,2019-01-01 06:00,-4.497
2019-01-01 05:00,2019-01-01 07:00,-4.583
2019-01-01 06:00,2019-01-01 08:00,-3.896
2019-01-01 07:00,2019-01-01 09:00,-1.928
2019-01-01 08:00,2019-01-01 10:00,-0.306
2019-01-01 09:00,2019-01-01 11:00,1.001
2019-01-01 10:00,2019-01-01 12:00,1.623
2019-01-01 11:00,2019-01-01 13:00,1.839
2019-01-01 12:00,2019-01-01 14:00,1.628
2019-01-01 13:00,2019-01-01 15:00,0.869
2019-01-01 14:00,2019-01-01 16:00,-1.473
2019-01-01 15:00,2019-01-01 17:00,-3.075
2019-01-01 16:00,2019-01-01 18:00,-3.317
2019-01-01 17:00,2019-01-01 19:00,-3.475
2019-01-01 18:00,2019-01-01 20:00,-3.776
2019-01-01 19:00,2019-01-01 21:00,-4.072
2019-01-01 20:00,2019-01-01 22:00,-4.353
2019-01-01 21:00,2019-01-01 23:00,-4.748
2019-01-01 22:00,2019-01-02 00:00,-5.478
2019-01-01 23:00,2019-01-02 01:00,-6.215
2019-01-02 00:00,2019-01-02 02:00,-6.801
2019-01-02 01:00,2019-01-02 03:00,-7.404
2019-01-02 02:00,2019-01-02 04:00,-7.823
2019-01-02 03:00,2019-01-02 05:00,-8.169
2019-01-02 04:00,2019-01-02 06:00,-8.283
2019-01-02 05:00,2019-01-02 07:00,-8.277
2019-01-02 06:00,2019-01-02 08:00,-6.930
2019-01-02 07:00,2019-01-02 09:00,-3.650
2019-01-02 08:00,2019-01-02 10:00,-1.256
2019-01-02 09:00,2019-01-02 11:00,0.935
2019-01-02 10:00,2019-01-02 12:00,1.892
2019-01-02 11:00,2019-01-02 13:00,1.968
2019-01-02 12:00,2019-01-02 14:00,1.407
2019-01-02 13:00,2019-01-02 15:00,0.432
2019-01-02 14:00,2019-01-02 16:00,-0.870
2019-01-02 15:00,2019-01-02 17:00,-1.793
2019-01-02 16:00,2019-01-02 18:00,-2.183
2019-01-02 17:00,2019-01-02 19:00,-2.512
2019-01-02 18:00,2019-01-02 20:00,-2.894
2019-01-02 19:00,2019-01-02 21:00,-3.126
2019-01-02 20:00,2019-01-02 22:00,-3.232
2019-01-02 21:00,2019-01-02 23:00,-3.377
2019-01-02 22:00,2019-01-03 00:00,-3.499
2019-01-02 23:00,2019-01-03 01:00,-3.536
2019-01-03 00:00,2019-01-03 02:00,-3.578
2019-01-03 01:00,2019-01-03 03:00,-3.660
2019-01-03 02:00,2019-01-03 04:00,-3.719
2019-01-03 03:00,2019-01-03 05:00,-3.775
2019-01-03 04:00,2019-01-03 06:00,-3.838
2019-01-03 05:00,2019-01-03 07:00,-3.821
2019-01-03 06:00,2019-01-03 08:00,-3.494
2019-01-03 07:00,2019-01-03 09:00,-2.735
2019-01-03 08:00,2019-01-03 10:00,-1.956
2019-01-03 09:00,2019-01-03 11:00,-1.302
2019-01-03 10:00,2019-01-03 12:00,-0.858
2019-01-03 11:00,2019-01-03 13:00,-0.899
2019-01-03 12:00,2019-01-03 14:00,-1.357
2019-01-03 13:00,2019-01-03 15:00,-2.005
2019-01-03 14:00,2019-01-03 16:00,-2.744
2019-01-03 15:00,2019-01-03 17:00,-3.297
2019-01-03 16:00,2019-01-03 18:00,-3.605
2019-01-03 17:00,2019-01-03 19:00,-3.894
2019-01-03 18:00,2019-01-03 20:00,-4.248
2019-01-03 19:00,2019-01-03 21:00,-4.645
2019-01-03 20:00,2019-01-03 22:00,-5.005
2019-01-03 21:00,2019-01-03 23:00,-5.254
2019-01-03 22:00,2019-01-04 00:00,-5.436
2019-01-03 23:00,2019-01-04 01:00,-5.625
2019-01-04 00:00,2019-01-04 02:00,-5.803
2019-01-04 01:00,2019-01-04 03:00,-5.976
2019-01-04 02:00,2019-01-04 04:00,-6.187
2019-01-04 03:00,2019-01-04 05:00,-6.474
2019-01-04 04:00,2019-01-04 06:00,-6.925
2019-01-04 05:00,2019-01-04 07:00,-7.352
2019-01-04 06:00,2019-01-04 08:00,-7.168
2019-01-04 07:00,2019-01-04 09:00,-5.986
2019-01-04 08:00,2019-01-04 10:00,-5.011
2019-01-04 09:00,2019-01-04 11:00,-4.344
2019-01-04 10:00,2019-01-04 12:00,-3.846
2019-01-04 11:00,2019-01-04 13:00,-3.443
2019-01-04 12:00,2019-01-04 14:00,-3.232
2019-01-04 13:00,2019-01-04 15:00,-3.473
2019-01-04 14:00,2019-01-04 16:00,-4.603
2019-01-04 15:00,2019-01-04 17:00,-5.896
2019-01-04 16:00,2019-01-04 18:00,-6.376
2019-01-04 17:00,2019-01-04 19:00,-6.702
2019-01-04 18:00,2019-01-04 20:00,-7.033
2019-01-04 19:00,2019-01-04 21:00,-7.353
2019-01-04 20:00,2019-01-04 22:00,-7.589
2019-01-04 21:00,2019-01-04 23:00,-7.689
2019-01-04 22:00,2019-01-05 00:00,-7.802
2019-01-04 23:00,2019-01-05 01:00,-7.937
2019-01-05 00:00,2019-01-05 02:00,-8.034
2019-01-05 01:00,2019-01-05 03:00,-8.122
2019-01-05 02:00,2019-01-05 04:00,-8.264
2019-01-05 03:00,2019-01-05 05:00,-8.649
2019-01-05 04:00,2019-01-05 06:00,-9.332
2019-01-05 05:00,2019-01-05 07:00,-9.805
2019-01-05 06:00,2019-01-05 08:00,-9.347
2019-01-05 07:00,2019-01-05 09:00,-7.391
2019-01-05 08:00,2019-01-05 10:00,-5.736
2019-01-05 09:00,2019-01-05 11:00,-4.517
2019-01-05 10:00,2019-01-05 12:00,-3.556
2019-01-05 11:00,2019-01-05 13:00,-3.099
2019-01-05 12:00,2019-01-05 14:00,-3.042
2019-01-05 13:00,2019-01-05 15:00,-3.514
2019-01-05 14:00,2019-01-05 16:00,-5.193
2019-01-05 15:00,2019-01-05 17:00,-7.187
