# Renewables.ninja Weather (Point API) - 47.373, 8.539 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Zurich, t2m in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Zurich", "t2m": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "47.372946747152014", "lon": "8.538957789412757", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m
2019-01-01 00:00,2019-01-01 01:00,0.556
2019-01-01 01:00,2019-01-01 02:00,0.218
2019-01-01 02:00,2019-01-01 03:00,0.055
2019-01-01 03:00,2019-01-01 04:00,-0.014
2019-01-01 04:00,2019-01-01 05:00,0.037
2019-01-01 05:00,2019-01-01 06:00,-0.129
2019-01-01 06:00,2019-01-01 07:00,-0.086
2019-01-01 07:00,2019-01-01 08:00,-0.062
2019-01-01 08:00,2019-01-01 09:00,0.682
2019-01-01 09:00,2019-01-01 10:00,1.360
2019-01-01 10:00,2019-01-01 11:00,1.963
2019-01-01 11:00,2019-01-01 12:00,2.313
2019-01-01 12:00,2019-01-01 13:00,2.345
2019-01-01 13:00,2019-01-01 14:00,2.075
2019-01-01 14:00,2019-01-01 15:00,1.266
2019-01-01 15:00,2019-01-01 16:00,0.246
2019-01-01 16:00,2019-01-01 17:00,-0.055
2019-01-01 17:00,2019-01-01 18:00,-0.097
2019-01-01 18:00,2019-01-01 19:00,-0.033
2019-01-01 19:00,2019-01-01 20:00,0.036
2019-01-01 20:00,2019-01-01 21:00,-0.038
2019-01-01 21:00,2019-01-01 22:00,-0.100
2019-01-01 22:00,2019-01-01 23:00,-0.124
2019-01-01 23:00,2019-01-02 00:00,-0.186
2019-01-02 00:00,2019-01-02 01:00,-0.226
2019-01-02 01:00,2019-01-02 02:00,-0.291
2019-01-02 02:00,2019-01-02 03:00,-0.810
2019-01-02 03:00,2019-01-02 04:00,-1.385
2019-01-02 04:00,2019-01-02 05:00,-1.925
2019-01-02 05:00,2019-01-02 06:00,-2.564
2019-01-02 06:00,2019-01-02 07:00,-2.570
2019-01-02 07:00,2019-01-02 08:00,-2.128
2019-01-02 08:00,2019-01-02 09:00,-1.260
2019-01-02 09:00,2019-01-02 10:00,-0.642
2019-01-02 10:00,2019-01-02 11:00,-0.119
2019-01-02 11:00,2019-01-02 12:00,0.165
2019-01-02 12:00,2019-01-02 13:00,0.323
2019-01-02 13:00,2019-01-02 14:00,0.081
2019-01-02 14:00,2019-01-02 15:00,-0.500
2019-01-02 15:00,2019-01-02 16:00,-1.751
2019-01-02 16:00,2019-01-02 17:00,-2.320
2019-01-02 17:00,2019-01-02 18:00,-2.444
2019-01-02 18:00,2019-01-02 19:00,-2.812
2019-01-02 19:00,2019-01-02 20:00,-3.272
2019-01-02 20:00,2019-01-02 21:00,-3.598
2019-01-02 21:00,2019-01-02 22:00,-3.833
2019-01-02 22:00,2019-01-02 23:00,-4.109
2019-01-02 23:00,2019-01-03 00:00,-4.420
