# Renewables.ninja Weather (Point API) - 53.550, 10.001 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Berlin, t2m in ºC, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "t2m": "\u00baC", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "53.550341", "lon": "10.000654", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m,swgdn
2019-01-01 00:00,2019-01-01 01:00,6.467,0
2019-01-01 01:00,2019-01-01 02:00,6.550,0
2019-01-01 02:00,2019-01-01 03:00,6.752,0
2019-01-01 03:00,2019-01-01 04:00,6.908,0
2019-01-01 04:00,2019-01-01 05:00,6.979,0
2019-01-01 05:00,2019-01-01 06:00,7.162,0
2019-01-01 06:00,2019-01-01 07:00,7.468,0
2019-01-01 07:00,2019-01-01 08:00,7.411,0.278
2019-01-01 08:00,2019-01-01 09:00,6.552,25.027
2019-01-01 09:00,2019-01-01 10:00,6.399,81.572
2019-01-01 10:00,2019-01-01 11:00,6.852,142.174
2019-01-01 11:00,2019-01-01 12:00,7.164,161.002
2019-01-01 12:00,2019-01-01 13:00,7.041,136.159
2019-01-01 13:00,2019-01-01 14:00,6.340,79.126
2019-01-01 14:00,2019-01-01 15:00,5.529,19.635
2019-01-01 15:00,2019-01-01 16:00,4.935,0.004
2019-01-01 16:00,2019-01-01 17:00,4.498,0
2019-01-01 17:00,2019-01-01 18:00,4.131,0
2019-01-01 18:00,2019-01-01 19:00,3.863,0
2019-01-01 19:00,2019-01-01 20:00,4.182,0
2019-01-01 20:00,2019-01-01 21:00,4.646,0
2019-01-01 21:00,2019-01-01 22:00,4.841,0
2019-01-01 22:00,2019-01-01 23:00,4.773,0
2019-01-01 23:00,2019-01-02 00:00,4.383,0
2019-01-02 00:00,2019-01-02 01:00,3.666,0
2019-01-02 01:00,2019-01-02 02:00,3.024,0
2019-01-02 02:00,2019-01-02 03:00,2.534,0
2019-01-02 03:00,2019-01-02 04:00,2.150,0
2019-01-02 04:00,2019-01-02 05:00,1.909,0
2019-01-02 05:00,2019-01-02 06:00,1.756,0
2019-01-02 06:00,2019-01-02 07:00,1.639,0
2019-01-02 07:00,2019-01-02 08:00,1.507,2.649
2019-01-02 08:00,2019-01-02 09:00,1.822,61.343
2019-01-02 09:00,2019-01-02 10:00,2.713,142.046
2019-01-02 10:00,2019-01-02 11:00,3.512,198.331
2019-01-02 11:00,2019-01-02 12:00,3.953,213.449
2019-01-02 12:00,2019-01-02 13:00,3.970,184.029
2019-01-02 13:00,2019-01-02 14:00,3.513,119.131
2019-01-02 14:00,2019-01-02 15:00,2.414,35.053
2019-01-02 15:00,2019-01-02 16:00,1.087,0.013
2019-01-02 16:00,2019-01-02 17:00,0.053,0
2019-01-02 17:00,2019-01-02 18:00,-0.853,0
2019-01-02 18:00,2019-01-02 19:00,-1.787,0
2019-01-02 19:00,2019-01-02 20:00,-2.378,0
2019-01-02 20:00,2019-01-02 21:00,-2.809,0
2019-01-02 21:00,2019-01-02 22:00,-3.195,0
2019-01-02 22:00,2019-01-02 23:00,-3.208,0
2019-01-02 23:00,2019-01-03 00:00,-3.124,0
2019-01-03 00:00,2019-01-03 01:00,-3.067,0
2019-01-03 01:00,2019-01-03 02:00,-2.939,0
2019-01-03 02:00,2019-01-03 03:00,-2.848,0
2019-01-03 03:00,2019-01-03 04:00,-2.760,0
2019-01-03 04:00,2019-01-03 05:00,-2.713,0
2019-01-03 05:00,2019-01-03 06:00,-2.419,0
2019-01-03 06:00,2019-01-03 07:00,-2.055,0
2019-01-03 07:00,2019-01-03 08:00,-1.724,2.048
2019-01-03 08:00,2019-01-03 09:00,-1.115,44.666
2019-01-03 09:00,2019-01-03 10:00,-0.222,113.076
2019-01-03 10:00,2019-01-03 11:00,0.875,168.176
2019-01-03 11:00,2019-01-03 12:00,1.709,160.498
2019-01-03 12:00,2019-01-03 13:00,1.962,133.506
2019-01-03 13:00,2019-01-03 14:00,1.358,77.160
2019-01-03 14:00,2019-01-03 15:00,-0.375,27.113
2019-01-03 15:00,2019-01-03 16:00,-1.352,0.020
2019-01-03 16:00,2019-01-03 17:00,-1.316,0
2019-01-03 17:00,2019-01-03 18:00,-1.524,0
2019-01-03 18:00,2019-01-03 19:00,-2.215,0
2019-01-03 19:00,2019-01-03 20:00,-2.833,0
2019-01-03 20:00,2019-01-03 21:00,-2.618,0
2019-01-03 21:00,2019-01-03 22:00,-2.236,0
2019-01-03 22:00,2019-01-03 23:00,-1.633,0
2019-01-03 23:00,2019-01-04 00:00,-0.823,0
2019-01-04 00:00,2019-01-04 01:00,-0.151,0
