# Renewables.ninja Weather (Point API) - 41.393, 2.167 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Madrid, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Madrid", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "41.39268961738889", "lon": "2.1671274327356405", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,swgdn
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,22.860
2019-01-01 08:00,2019-01-01 09:00,142.040
2019-01-01 09:00,2019-01-01 10:00,248.976
2019-01-01 10:00,2019-01-01 11:00,369.934
2019-01-01 11:00,2019-01-01 12:00,421.455
2019-01-01 12:00,2019-01-01 13:00,424.630
2019-01-01 13:00,2019-01-01 14:00,362.044
2019-01-01 14:00,2019-01-01 15:00,251.411
2019-01-01 15:00,2019-01-01 16:00,110.095
2019-01-01 16:00,2019-01-01 17:00,6.337
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,25.147
2019-01-02 08:00,2019-01-02 09:00,160.153
2019-01-02 09:00,2019-01-02 10:00,298.948
2019-01-02 10:00,2019-01-02 11:00,398.836
2019-01-02 11:00,2019-01-02 12:00,447.486
2019-01-02 12:00,2019-01-02 13:00,439.829
2019-01-02 13:00,2019-01-02 14:00,376.526
2019-01-02 14:00,2019-01-02 15:00,264.328
2019-01-02 15:00,2019-01-02 16:00,118.908
2019-01-02 16:00,2019-01-02 17:00,7.406
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,26.764
2019-01-03 08:00,2019-01-03 09:00,165.023
2019-01-03 09:00,2019-01-03 10:00,305.027
2019-01-03 10:00,2019-01-03 11:00,404.590
2019-01-03 11:00,2019-01-03 12:00,451.413
2019-01-03 12:00,2019-01-03 13:00,440.537
2019-01-03 13:00,2019-01-03 14:00,374.361
2019-01-03 14:00,2019-01-03 15:00,260.118
2019-01-03 15:00,2019-01-03 16:00,115.377
2019-01-03 16:00,2019-01-03 17:00,7.154
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,26.189
2019-01-04 08:00,2019-01-04 09:00,161.687
2019-01-04 09:00,2019-01-04 10:00,298.360
2019-01-04 10:00,2019-01-04 11:00,393.930
2019-01-04 11:00,2019-01-04 12:00,444.451
2019-01-04 12:00,2019-01-04 13:00,432.160
2019-01-04 13:00,2019-01-04 14:00,366.851
2019-01-04 14:00,2019-01-04 15:00,252.539
2019-01-04 15:00,2019-01-04 16:00,103.966
2019-01-04 16:00,2019-01-04 17:00,6.328
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,25.368
2019-01-05 08:00,2019-01-05 09:00,167.030
2019-01-05 09:00,2019-01-05 10:00,308.370
2019-01-05 10:00,2019-01-05 11:00,410.015
2019-01-05 11:00,2019-01-05 12:00,457.863
2019-01-05 12:00,2019-01-05 13:00,445.427
2019-01-05 13:00,2019-01-05 14:00,377.964
