# Renewables.ninja Weather (Point API) - 40.419, -3.704 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Madrid, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Madrid", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "40.419187200468656", "lon": "-3.70395549844171", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,swgdn
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,5.192
2019-01-01 08:00,2019-01-01 09:00,113.752
2019-01-01 09:00,2019-01-01 10:00,266.515
2019-01-01 10:00,2019-01-01 11:00,387.948
2019-01-01 11:00,2019-01-01 12:00,459.939
2019-01-01 12:00,2019-01-01 13:00,474.965
2019-01-01 13:00,2019-01-01 14:00,431.021
2019-01-01 14:00,2019-01-01 15:00,332.958
2019-01-01 15:00,2019-01-01 16:00,192.005
2019-01-01 16:00,2019-01-01 17:00,41.952
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,5.808
2019-01-02 08:00,2019-01-02 09:00,120.289
2019-01-02 09:00,2019-01-02 10:00,277.585
2019-01-02 10:00,2019-01-02 11:00,400.755
2019-01-02 11:00,2019-01-02 12:00,472.218
2019-01-02 12:00,2019-01-02 13:00,485.180
2019-01-02 13:00,2019-01-02 14:00,439.231
2019-01-02 14:00,2019-01-02 15:00,338.872
2019-01-02 15:00,2019-01-02 16:00,196.041
2019-01-02 16:00,2019-01-02 17:00,43.547
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,5.368
2019-01-03 08:00,2019-01-03 09:00,111.804
2019-01-03 09:00,2019-01-03 10:00,263.529
2019-01-03 10:00,2019-01-03 11:00,385.198
2019-01-03 11:00,2019-01-03 12:00,454.910
2019-01-03 12:00,2019-01-03 13:00,451.517
2019-01-03 13:00,2019-01-03 14:00,375.429
2019-01-03 14:00,2019-01-03 15:00,242.559
2019-01-03 15:00,2019-01-03 16:00,112.179
2019-01-03 16:00,2019-01-03 17:00,23.168
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,6.011
2019-01-04 08:00,2019-01-04 09:00,119.298
2019-01-04 09:00,2019-01-04 10:00,276.197
2019-01-04 10:00,2019-01-04 11:00,400.960
2019-01-04 11:00,2019-01-04 12:00,475.086
2019-01-04 12:00,2019-01-04 13:00,490.700
2019-01-04 13:00,2019-01-04 14:00,446.414
2019-01-04 14:00,2019-01-04 15:00,346.584
2019-01-04 15:00,2019-01-04 16:00,202.714
2019-01-04 16:00,2019-01-04 17:00,46.567
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,6.504
2019-01-05 08:00,2019-01-05 09:00,121.662
2019-01-05 09:00,2019-01-05 10:00,277.341
2019-01-05 10:00,2019-01-05 11:00,400.241
2019-01-05 11:00,2019-01-05 12:00,473.114
2019-01-05 12:00,2019-01-05 13:00,487.800
2019-01-05 13:00,2019-01-05 14:00,443.872
