# Renewables.ninja Weather (Point API) - 40.430, -3.651 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Madrid, t2m in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Madrid", "t2m": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "40.429949020783255", "lon": "-3.6512046410619194", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m
2019-01-01 00:00,2019-01-01 01:00,3.856
2019-01-01 01:00,2019-01-01 02:00,2.932
2019-01-01 02:00,2019-01-01 03:00,2.108
2019-01-01 03:00,2019-01-01 04:00,1.298
2019-01-01 04:00,2019-01-01 05:00,0.657
2019-01-01 05:00,2019-01-01 06:00,0.217
2019-01-01 06:00,2019-01-01 07:00,-0.072
2019-01-01 07:00,2019-01-01 08:00,-0.227
2019-01-01 08:00,2019-01-01 09:00,1.907
2019-01-01 09:00,2019-01-01 10:00,5.366
2019-01-01 10:00,2019-01-01 11:00,7.726
2019-01-01 11:00,2019-01-01 12:00,9.932
2019-01-01 12:00,2019-01-01 13:00,11.739
2019-01-01 13:00,2019-01-01 14:00,12.762
2019-01-01 14:00,2019-01-01 15:00,12.966
2019-01-01 15:00,2019-01-01 16:00,11.989
2019-01-01 16:00,2019-01-01 17:00,9.413
2019-01-01 17:00,2019-01-01 18:00,7.555
2019-01-01 18:00,2019-01-01 19:00,6.325
2019-01-01 19:00,2019-01-01 20:00,5.218
2019-01-01 20:00,2019-01-01 21:00,4.357
2019-01-01 21:00,2019-01-01 22:00,3.165
2019-01-01 22:00,2019-01-01 23:00,2.066
2019-01-01 23:00,2019-01-02 00:00,1.193
2019-01-02 00:00,2019-01-02 01:00,0.437
2019-01-02 01:00,2019-01-02 02:00,-0.127
2019-01-02 02:00,2019-01-02 03:00,-0.676
2019-01-02 03:00,2019-01-02 04:00,-1.097
2019-01-02 04:00,2019-01-02 05:00,-1.427
2019-01-02 05:00,2019-01-02 06:00,-1.760
2019-01-02 06:00,2019-01-02 07:00,-2.134
2019-01-02 07:00,2019-01-02 08:00,-2.447
2019-01-02 08:00,2019-01-02 09:00,-0.456
2019-01-02 09:00,2019-01-02 10:00,2.006
2019-01-02 10:00,2019-01-02 11:00,5.292
2019-01-02 11:00,2019-01-02 12:00,8.328
2019-01-02 12:00,2019-01-02 13:00,10.502
2019-01-02 13:00,2019-01-02 14:00,11.825
2019-01-02 14:00,2019-01-02 15:00,12.215
2019-01-02 15:00,2019-01-02 16:00,10.676
2019-01-02 16:00,2019-01-02 17:00,6.424
2019-01-02 17:00,2019-01-02 18:00,4.035
2019-01-02 18:00,2019-01-02 19:00,3.211
2019-01-02 19:00,2019-01-02 20:00,2.211
2019-01-02 20:00,2019-01-02 21:00,1.219
2019-01-02 21:00,2019-01-02 22:00,0.499
2019-01-02 22:00,2019-01-02 23:00,-0.069
2019-01-02 23:00,2019-01-03 00:00,-0.622
2019-01-03 00:00,2019-01-03 01:00,-1.097
2019-01-03 01:00,2019-01-03 02:00,-1.418
2019-01-03 02:00,2019-01-03 03:00,-1.710
2019-01-03 03:00,2019-01-03 04:00,-1.815
2019-01-03 04:00,2019-01-03 05:00,-1.988
2019-01-03 05:00,2019-01-03 06:00,-1.962
2019-01-03 06:00,2019-01-03 07:00,-1.939
2019-01-03 07:00,2019-01-03 08:00,-1.896
2019-01-03 08:00,2019-01-03 09:00,0.756
2019-01-03 09:00,2019-01-03 10:00,4.050
2019-01-03 10:00,2019-01-03 11:00,6.677
2019-01-03 11:00,2019-01-03 12:00,9.206
2019-01-03 12:00,2019-01-03 13:00,10.729
2019-01-03 13:00,2019-01-03 14:00,11.276
2019-01-03 14:00,2019-01-03 15:00,11.023
2019-01-03 15:00,2019-01-03 16:00,9.666
2019-01-03 16:00,2019-01-03 17:00,8.308
2019-01-03 17:00,2019-01-03 18:00,7.464
2019-01-03 18:00,2019-01-03 19:00,6.237
2019-01-03 19:00,2019-01-03 20:00,4.754
2019-01-03 20:00,2019-01-03 21:00,3.151
2019-01-03 21:00,2019-01-03 22:00,1.874
2019-01-03 22:00,2019-01-03 23:00,0.923
2019-01-03 23:00,2019-01-04 00:00,0.133
2019-01-04 00:00,2019-01-04 01:00,-0.472
2019-01-04 01:00,2019-01-04 02:00,-0.889
2019-01-04 02:00,2019-01-04 03:00,-1.208
2019-01-04 03:00,2019-01-04 04:00,-1.446
2019-01-04 04:00,2019-01-04 05:00,-1.629
2019-01-04 05:00,2019-01-04 06:00,-1.701
2019-01-04 06:00,2019-01-04 07:00,-1.654
2019-01-04 07:00,2019-01-04 08:00,-1.512
2019-01-04 08:00,2019-01-04 09:00,0.962
2019-01-04 09:00,2019-01-04 10:00,4.377
2019-01-04 10:00,2019-01-04 11:00,6.656
2019-01-04 11:00,2019-01-04 12:00,8.958
2019-01-04 12:00,2019-01-04 13:00,10.903
2019-01-04 13:00,2019-01-04 14:00,11.715
2019-01-04 14:00,2019-01-04 15:00,11.693
2019-01-04 15:00,2019-01-04 16:00,10.609
2019-01-04 16:00,2019-01-04 17:00,8.571
2019-01-04 17:00,2019-01-04 18:00,6.998
2019-01-04 18:00,2019-01-04 19:00,5.224
2019-01-04 19:00,2019-01-04 20:00,3.871
2019-01-04 20:00,2019-01-04 21:00,2.408
2019-01-04 21:00,2019-01-04 22:00,1.173
2019-01-04 22:00,2019-01-04 23:00,0.003
2019-01-04 23:00,2019-01-05 00:00,-0.940
2019-01-05 00:00,2019-01-05 01:00,-1.563
2019-01-05 01:00,2019-01-05 02:00,-1.931
2019-01-05 02:00,2019-01-05 03:00,-2.102
2019-01-05 03:00,2019-01-05 04:00,-2.156
2019-01-05 04:00,2019-01-05 05:00,-2.130
2019-01-05 05:00,2019-01-05 06:00,-2.051
2019-01-05 06:00,2019-01-05 07:00,-1.916
2019-01-05 07:00,2019-01-05 08:00,-1.700
2019-01-05 08:00,2019-01-05 09:00,1.019
2019-01-05 09:00,2019-01-05 10:00,4.688
2019-01-05 10:00,2019-01-05 11:00,7.078
2019-01-05 11:00,2019-01-05 12:00,9.409
2019-01-05 12:00,2019-01-05 13:00,11.525
2019-01-05 13:00,2019-01-05 14:00,12.721
2019-01-05 14:00,2019-01-05 15:00,12.930
2019-01-05 15:00,2019-01-05 16:00,11.253
2019-01-05 16:00,2019-01-05 17:00,8.269
2019-01-05 17:00,2019-01-05 18:00,5.455
2019-01-05 18:00,2019-01-05 19:00,3.525
2019-01-05 19:00,2019-01-05 20:00,2.267
2019-01-05 20:00,2019-01-05 21:00,1.401
2019-01-05 21:00,2019-01-05 22:00,0.744
2019-01-05 22:00,2019-01-05 23:00,0.210
2019-01-05 23:00,2019-01-06 00:00,-0.276
2019-01-06 00:00,2019-01-06 01:00,-0.722
2019-01-06 01:00,2019-01-06 02:00,-1.127
2019-01-06 02:00,2019-01-06 03:00,-1.456
2019-01-06 03:00,2019-01-06 04:00,-1.698
2019-01-06 04:00,2019-01-06 05:00,-1.825
2019-01-06 05:00,2019-01-06 06:00,-1.840
2019-01-06 06:00,2019-01-06 07:00,-1.864
2019-01-06 07:00,2019-01-06 08:00,-1.821
2019-01-06 08:00,2019-01-06 09:00,0.954
2019-01-06 09:00,2019-01-06 10:00,4.144
2019-01-06 10:00,2019-01-06 11:00,6.923
2019-01-06 11:00,2019-01-06 12:00,10.050
2019-01-06 12:00,2019-01-06 13:00,12.873
2019-01-06 13:00,2019-01-06 14:00,13.938
2019-01-06 14:00,2019-01-06 15:00,13.714
2019-01-06 15:00,2019-01-06 16:00,11.207
2019-01-06 16:00,2019-01-06 17:00,6.401
2019-01-06 17:00,2019-01-06 18:00,3.671
2019-01-06 18:00,2019-01-06 19:00,2.808
2019-01-06 19:00,2019-01-06 20:00,1.871
2019-01-06 20:00,2019-01-06 21:00,0.958
2019-01-06 21:00,2019-01-06 22:00,0.247
2019-01-06 22:00,2019-01-06 23:00,-0.296
2019-01-06 23:00,2019-01-07 00:00,-0.967
2019-01-07 00:00,2019-01-07 01:00,-1.551
2019-01-07 01:00,2019-01-07 02:00,-1.914
2019-01-07 02:00,2019-01-07 03:00,-2.023
2019-01-07 03:00,2019-01-07 04:00,-2.131
2019-01-07 04:00,2019-01-07 05:00,-2.261
2019-01-07 05:00,2019-01-07 06:00,-2.311
2019-01-07 06:00,2019-01-07 07:00,-2.351
2019-01-07 07:00,2019-01-07 08:00,-2.312
2019-01-07 08:00,2019-01-07 09:00,0.418
2019-01-07 09:00,2019-01-07 10:00,3.317
2019-01-07 10:00,2019-01-07 11:00,6.574
2019-01-07 11:00,2019-01-07 12:00,10.032
2019-01-07 12:00,2019-01-07 13:00,12.264
2019-01-07 13:00,2019-01-07 14:00,13.368
2019-01-07 14:00,2019-01-07 15:00,13.316
2019-01-07 15:00,2019-01-07 16:00,11.222
2019-01-07 16:00,2019-01-07 17:00,6.650
2019-01-07 17:00,2019-01-07 18:00,3.962
2019-01-07 18:00,2019-01-07 19:00,3.086
2019-01-07 19:00,2019-01-07 20:00,2.193
2019-01-07 20:00,2019-01-07 21:00,1.304
2019-01-07 21:00,2019-01-07 22:00,0.554
2019-01-07 22:00,2019-01-07 23:00,-0.085
2019-01-07 23:00,2019-01-08 00:00,-0.676
2019-01-08 00:00,2019-01-08 01:00,-1.193
2019-01-08 01:00,2019-01-08 02:00,-1.559
2019-01-08 02:00,2019-01-08 03:00,-1.855
2019-01-08 03:00,2019-01-08 04:00,-2.066
2019-01-08 04:00,2019-01-08 05:00,-2.194
2019-01-08 05:00,2019-01-08 06:00,-2.321
2019-01-08 06:00,2019-01-08 07:00,-2.437
2019-01-08 07:00,2019-01-08 08:00,-2.381
2019-01-08 08:00,2019-01-08 09:00,0.381
2019-01-08 09:00,2019-01-08 10:00,3.349
2019-01-08 10:00,2019-01-08 11:00,6.280
2019-01-08 11:00,2019-01-08 12:00,9.062
2019-01-08 12:00,2019-01-08 13:00,11.142
2019-01-08 13:00,2019-01-08 14:00,12.493
2019-01-08 14:00,2019-01-08 15:00,12.863
2019-01-08 15:00,2019-01-08 16:00,11.252
2019-01-08 16:00,2019-01-08 17:00,7.174
2019-01-08 17:00,2019-01-08 18:00,4.672
2019-01-08 18:00,2019-01-08 19:00,3.812
2019-01-08 19:00,2019-01-08 20:00,3.101
2019-01-08 20:00,2019-01-08 21:00,2.524
2019-01-08 21:00,2019-01-08 22:00,2.069
2019-01-08 22:00,2019-01-08 23:00,1.510
2019-01-08 23:00,2019-01-09 00:00,0.884
2019-01-09 00:00,2019-01-09 01:00,0.333
2019-01-09 01:00,2019-01-09 02:00,-0.130
2019-01-09 02:00,2019-01-09 03:00,-0.578
2019-01-09 03:00,2019-01-09 04:00,-0.850
2019-01-09 04:00,2019-01-09 05:00,-1.146
2019-01-09 05:00,2019-01-09 06:00,-1.268
2019-01-09 06:00,2019-01-09 07:00,-1.206
2019-01-09 07:00,2019-01-09 08:00,-0.957
2019-01-09 08:00,2019-01-09 09:00,1.966
2019-01-09 09:00,2019-01-09 10:00,5.262
2019-01-09 10:00,2019-01-09 11:00,8.162
2019-01-09 11:00,2019-01-09 12:00,10.347
2019-01-09 12:00,2019-01-09 13:00,11.947
2019-01-09 13:00,2019-01-09 14:00,12.821
2019-01-09 14:00,2019-01-09 15:00,12.843
2019-01-09 15:00,2019-01-09 16:00,11.657
2019-01-09 16:00,2019-01-09 17:00,8.136
2019-01-09 17:00,2019-01-09 18:00,5.099
2019-01-09 18:00,2019-01-09 19:00,4.016
2019-01-09 19:00,2019-01-09 20:00,3.032
2019-01-09 20:00,2019-01-09 21:00,2.083
2019-01-09 21:00,2019-01-09 22:00,1.066
2019-01-09 22:00,2019-01-09 23:00,0.134
