# Renewables.ninja Weather (Point API) - 41.452, 2.157 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Madrid, t2m in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Madrid", "t2m": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "41.45240036371367", "lon": "2.1569655478130665", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m
2019-01-01 00:00,2019-01-01 01:00,10.531
2019-01-01 01:00,2019-01-01 02:00,10.991
2019-01-01 02:00,2019-01-01 03:00,10.913
2019-01-01 03:00,2019-01-01 04:00,10.476
2019-01-01 04:00,2019-01-01 05:00,9.766
2019-01-01 05:00,2019-01-01 06:00,9.020
2019-01-01 06:00,2019-01-01 07:00,8.648
2019-01-01 07:00,2019-01-01 08:00,8.577
2019-01-01 08:00,2019-01-01 09:00,10.215
2019-01-01 09:00,2019-01-01 10:00,11.953
2019-01-01 10:00,2019-01-01 11:00,12.827
2019-01-01 11:00,2019-01-01 12:00,13.435
2019-01-01 12:00,2019-01-01 13:00,13.828
2019-01-01 13:00,2019-01-01 14:00,13.890
2019-01-01 14:00,2019-01-01 15:00,13.570
2019-01-01 15:00,2019-01-01 16:00,12.472
2019-01-01 16:00,2019-01-01 17:00,10.261
2019-01-01 17:00,2019-01-01 18:00,9.687
2019-01-01 18:00,2019-01-01 19:00,9.478
2019-01-01 19:00,2019-01-01 20:00,9.297
2019-01-01 20:00,2019-01-01 21:00,9.046
2019-01-01 21:00,2019-01-01 22:00,8.553
2019-01-01 22:00,2019-01-01 23:00,8.202
2019-01-01 23:00,2019-01-02 00:00,8.041
2019-01-02 00:00,2019-01-02 01:00,7.938
2019-01-02 01:00,2019-01-02 02:00,8.020
2019-01-02 02:00,2019-01-02 03:00,7.811
2019-01-02 03:00,2019-01-02 04:00,7.504
2019-01-02 04:00,2019-01-02 05:00,7.483
2019-01-02 05:00,2019-01-02 06:00,7.491
2019-01-02 06:00,2019-01-02 07:00,7.497
2019-01-02 07:00,2019-01-02 08:00,7.723
2019-01-02 08:00,2019-01-02 09:00,9.570
2019-01-02 09:00,2019-01-02 10:00,11.664
2019-01-02 10:00,2019-01-02 11:00,13.080
2019-01-02 11:00,2019-01-02 12:00,14.895
2019-01-02 12:00,2019-01-02 13:00,15.675
2019-01-02 13:00,2019-01-02 14:00,15.934
2019-01-02 14:00,2019-01-02 15:00,15.674
2019-01-02 15:00,2019-01-02 16:00,14.569
2019-01-02 16:00,2019-01-02 17:00,13.032
2019-01-02 17:00,2019-01-02 18:00,11.614
2019-01-02 18:00,2019-01-02 19:00,10.400
2019-01-02 19:00,2019-01-02 20:00,8.878
2019-01-02 20:00,2019-01-02 21:00,7.440
2019-01-02 21:00,2019-01-02 22:00,6.231
2019-01-02 22:00,2019-01-02 23:00,5.503
2019-01-02 23:00,2019-01-03 00:00,4.874
2019-01-03 00:00,2019-01-03 01:00,4.214
2019-01-03 01:00,2019-01-03 02:00,3.688
2019-01-03 02:00,2019-01-03 03:00,3.644
2019-01-03 03:00,2019-01-03 04:00,3.956
2019-01-03 04:00,2019-01-03 05:00,4.154
2019-01-03 05:00,2019-01-03 06:00,4.196
2019-01-03 06:00,2019-01-03 07:00,4.347
2019-01-03 07:00,2019-01-03 08:00,5.086
2019-01-03 08:00,2019-01-03 09:00,6.596
2019-01-03 09:00,2019-01-03 10:00,8.305
2019-01-03 10:00,2019-01-03 11:00,9.707
2019-01-03 11:00,2019-01-03 12:00,10.815
2019-01-03 12:00,2019-01-03 13:00,11.432
2019-01-03 13:00,2019-01-03 14:00,11.663
2019-01-03 14:00,2019-01-03 15:00,11.437
2019-01-03 15:00,2019-01-03 16:00,10.173
2019-01-03 16:00,2019-01-03 17:00,8.084
2019-01-03 17:00,2019-01-03 18:00,7.791
2019-01-03 18:00,2019-01-03 19:00,7.861
2019-01-03 19:00,2019-01-03 20:00,7.816
2019-01-03 20:00,2019-01-03 21:00,8.038
2019-01-03 21:00,2019-01-03 22:00,7.598
2019-01-03 22:00,2019-01-03 23:00,7.101
2019-01-03 23:00,2019-01-04 00:00,6.682
2019-01-04 00:00,2019-01-04 01:00,6.417
2019-01-04 01:00,2019-01-04 02:00,6.218
2019-01-04 02:00,2019-01-04 03:00,6.164
2019-01-04 03:00,2019-01-04 04:00,5.617
2019-01-04 04:00,2019-01-04 05:00,5.186
2019-01-04 05:00,2019-01-04 06:00,5.237
2019-01-04 06:00,2019-01-04 07:00,5.388
2019-01-04 07:00,2019-01-04 08:00,5.572
2019-01-04 08:00,2019-01-04 09:00,7.356
2019-01-04 09:00,2019-01-04 10:00,9.291
2019-01-04 10:00,2019-01-04 11:00,10.446
2019-01-04 11:00,2019-01-04 12:00,11.092
2019-01-04 12:00,2019-01-04 13:00,11.441
2019-01-04 13:00,2019-01-04 14:00,11.492
2019-01-04 14:00,2019-01-04 15:00,11.134
2019-01-04 15:00,2019-01-04 16:00,9.979
2019-01-04 16:00,2019-01-04 17:00,8.244
2019-01-04 17:00,2019-01-04 18:00,7.793
2019-01-04 18:00,2019-01-04 19:00,7.621
2019-01-04 19:00,2019-01-04 20:00,7.506
2019-01-04 20:00,2019-01-04 21:00,7.199
2019-01-04 21:00,2019-01-04 22:00,6.767
2019-01-04 22:00,2019-01-04 23:00,5.972
2019-01-04 23:00,2019-01-05 00:00,5.532
