# Renewables.ninja Weather (Point API) - 48.859, 2.320 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Paris, t2m in ºC, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "t2m": "\u00baC", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "48.8588897", "lon": "2.3200410217200766", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m,swgdn
2019-01-01 00:00,2019-01-01 01:00,6.029,0
2019-01-01 01:00,2019-01-01 02:00,5.652,0
2019-01-01 02:00,2019-01-01 03:00,5.417,0
2019-01-01 03:00,2019-01-01 04:00,5.274,0
2019-01-01 04:00,2019-01-01 05:00,5.108,0
2019-01-01 05:00,2019-01-01 06:00,5.068,0
2019-01-01 06:00,2019-01-01 07:00,5.090,0
2019-01-01 07:00,2019-01-01 08:00,5.116,0.309
2019-01-01 08:00,2019-01-01 09:00,5.499,19.054
2019-01-01 09:00,2019-01-01 10:00,6.380,59.869
2019-01-01 10:00,2019-01-01 11:00,7.148,99.036
2019-01-01 11:00,2019-01-01 12:00,7.669,145.927
2019-01-01 12:00,2019-01-01 13:00,7.795,127.304
2019-01-01 13:00,2019-01-01 14:00,7.788,100.093
2019-01-01 14:00,2019-01-01 15:00,7.500,46.379
2019-01-01 15:00,2019-01-01 16:00,6.938,8.804
2019-01-01 16:00,2019-01-01 17:00,6.743,0
2019-01-01 17:00,2019-01-01 18:00,6.859,0
2019-01-01 18:00,2019-01-01 19:00,6.948,0
2019-01-01 19:00,2019-01-01 20:00,6.925,0
2019-01-01 20:00,2019-01-01 21:00,6.958,0
2019-01-01 21:00,2019-01-01 22:00,6.866,0
2019-01-01 22:00,2019-01-01 23:00,6.495,0
2019-01-01 23:00,2019-01-02 00:00,5.806,0
2019-01-02 00:00,2019-01-02 01:00,5.107,0
2019-01-02 01:00,2019-01-02 02:00,4.565,0
2019-01-02 02:00,2019-01-02 03:00,3.866,0
2019-01-02 03:00,2019-01-02 04:00,3.197,0
2019-01-02 04:00,2019-01-02 05:00,2.307,0
2019-01-02 05:00,2019-01-02 06:00,1.388,0
2019-01-02 06:00,2019-01-02 07:00,0.993,0
2019-01-02 07:00,2019-01-02 08:00,0.335,1.180
2019-01-02 08:00,2019-01-02 09:00,1.192,58.980
2019-01-02 09:00,2019-01-02 10:00,2.771,169.563
2019-01-02 10:00,2019-01-02 11:00,4.678,249.608
2019-01-02 11:00,2019-01-02 12:00,6.356,283.511
2019-01-02 12:00,2019-01-02 13:00,7.012,265.362
2019-01-02 13:00,2019-01-02 14:00,7.012,209.538
2019-01-02 14:00,2019-01-02 15:00,6.425,117.803
2019-01-02 15:00,2019-01-02 16:00,4.633,25.960
2019-01-02 16:00,2019-01-02 17:00,3.411,0
2019-01-02 17:00,2019-01-02 18:00,3.188,0
2019-01-02 18:00,2019-01-02 19:00,2.629,0
2019-01-02 19:00,2019-01-02 20:00,1.701,0
2019-01-02 20:00,2019-01-02 21:00,0.601,0
2019-01-02 21:00,2019-01-02 22:00,0.277,0
2019-01-02 22:00,2019-01-02 23:00,0.723,0
2019-01-02 23:00,2019-01-03 00:00,1.100,0
2019-01-03 00:00,2019-01-03 01:00,1.244,0
2019-01-03 01:00,2019-01-03 02:00,1.218,0
2019-01-03 02:00,2019-01-03 03:00,1.098,0
2019-01-03 03:00,2019-01-03 04:00,0.917,0
2019-01-03 04:00,2019-01-03 05:00,0.860,0
2019-01-03 05:00,2019-01-03 06:00,0.871,0
2019-01-03 06:00,2019-01-03 07:00,0.971,0
2019-01-03 07:00,2019-01-03 08:00,1.081,0.679
2019-01-03 08:00,2019-01-03 09:00,1.702,32.208
2019-01-03 09:00,2019-01-03 10:00,2.742,100.874
2019-01-03 10:00,2019-01-03 11:00,4.284,189.320
2019-01-03 11:00,2019-01-03 12:00,5.538,248.267
2019-01-03 12:00,2019-01-03 13:00,6.241,262.225
2019-01-03 13:00,2019-01-03 14:00,6.279,201.228
2019-01-03 14:00,2019-01-03 15:00,5.671,130.424
2019-01-03 15:00,2019-01-03 16:00,3.092,32.174
2019-01-03 16:00,2019-01-03 17:00,1.313,0
2019-01-03 17:00,2019-01-03 18:00,0.925,0
2019-01-03 18:00,2019-01-03 19:00,0.668,0
2019-01-03 19:00,2019-01-03 20:00,0.256,0
2019-01-03 20:00,2019-01-03 21:00,-0.306,0
2019-01-03 21:00,2019-01-03 22:00,-0.766,0
2019-01-03 22:00,2019-01-03 23:00,-0.818,0
2019-01-03 23:00,2019-01-04 00:00,-0.331,0
2019-01-04 00:00,2019-01-04 01:00,0.550,0
