# Renewables.ninja Weather (Point API) - 41.893, 12.483 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Rome, t2m in ºC, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Rome", "t2m": "\u00baC", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "41.8933203", "lon": "12.4829321", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m,swgdn
2019-01-01 00:00,2019-01-01 01:00,3.441,0
2019-01-01 01:00,2019-01-01 02:00,3.045,0
2019-01-01 02:00,2019-01-01 03:00,2.705,0
2019-01-01 03:00,2019-01-01 04:00,2.473,0
2019-01-01 04:00,2019-01-01 05:00,2.339,0
2019-01-01 05:00,2019-01-01 06:00,2.234,0
2019-01-01 06:00,2019-01-01 07:00,2.183,4.845
2019-01-01 07:00,2019-01-01 08:00,3.900,106.916
2019-01-01 08:00,2019-01-01 09:00,6.245,251.585
2019-01-01 09:00,2019-01-01 10:00,7.938,364.801
2019-01-01 10:00,2019-01-01 11:00,9.791,410.984
2019-01-01 11:00,2019-01-01 12:00,10.857,404.796
2019-01-01 12:00,2019-01-01 13:00,11.475,353.725
2019-01-01 13:00,2019-01-01 14:00,11.607,257.498
2019-01-01 14:00,2019-01-01 15:00,10.599,141.705
2019-01-01 15:00,2019-01-01 16:00,8.324,23.286
2019-01-01 16:00,2019-01-01 17:00,7.153,0
2019-01-01 17:00,2019-01-01 18:00,6.698,0
2019-01-01 18:00,2019-01-01 19:00,6.216,0
2019-01-01 19:00,2019-01-01 20:00,5.630,0
2019-01-01 20:00,2019-01-01 21:00,5.098,0
2019-01-01 21:00,2019-01-01 22:00,4.825,0
2019-01-01 22:00,2019-01-01 23:00,4.857,0
2019-01-01 23:00,2019-01-02 00:00,4.960,0
2019-01-02 00:00,2019-01-02 01:00,4.917,0
2019-01-02 01:00,2019-01-02 02:00,4.770,0
2019-01-02 02:00,2019-01-02 03:00,4.373,0
2019-01-02 03:00,2019-01-02 04:00,4.485,0
2019-01-02 04:00,2019-01-02 05:00,4.823,0
2019-01-02 05:00,2019-01-02 06:00,5.009,0
2019-01-02 06:00,2019-01-02 07:00,5.187,0.833
2019-01-02 07:00,2019-01-02 08:00,5.802,29.641
2019-01-02 08:00,2019-01-02 09:00,7.091,113.664
2019-01-02 09:00,2019-01-02 10:00,8.639,301.180
2019-01-02 10:00,2019-01-02 11:00,9.813,410.963
2019-01-02 11:00,2019-01-02 12:00,10.518,432.641
2019-01-02 12:00,2019-01-02 13:00,11.071,388.147
2019-01-02 13:00,2019-01-02 14:00,10.932,291.335
2019-01-02 14:00,2019-01-02 15:00,9.746,155.520
2019-01-02 15:00,2019-01-02 16:00,7.434,23.946
2019-01-02 16:00,2019-01-02 17:00,5.795,0
2019-01-02 17:00,2019-01-02 18:00,5.240,0
2019-01-02 18:00,2019-01-02 19:00,4.759,0
2019-01-02 19:00,2019-01-02 20:00,4.462,0
2019-01-02 20:00,2019-01-02 21:00,4.592,0
2019-01-02 21:00,2019-01-02 22:00,4.253,0
2019-01-02 22:00,2019-01-02 23:00,3.285,0
2019-01-02 23:00,2019-01-03 00:00,2.384,0
2019-01-03 00:00,2019-01-03 01:00,1.920,0
2019-01-03 01:00,2019-01-03 02:00,1.728,0
2019-01-03 02:00,2019-01-03 03:00,1.595,0
2019-01-03 03:00,2019-01-03 04:00,1.407,0
2019-01-03 04:00,2019-01-03 05:00,1.200,0
2019-01-03 05:00,2019-01-03 06:00,1.010,0
2019-01-03 06:00,2019-01-03 07:00,0.875,4.731
2019-01-03 07:00,2019-01-03 08:00,2.293,100.477
2019-01-03 08:00,2019-01-03 09:00,4.084,240.725
2019-01-03 09:00,2019-01-03 10:00,5.908,347.238
2019-01-03 10:00,2019-01-03 11:00,6.677,398.765
2019-01-03 11:00,2019-01-03 12:00,6.847,419.048
2019-01-03 12:00,2019-01-03 13:00,6.823,381.639
2019-01-03 13:00,2019-01-03 14:00,6.573,287.850
2019-01-03 14:00,2019-01-03 15:00,5.747,152.295
2019-01-03 15:00,2019-01-03 16:00,3.343,23.985
2019-01-03 16:00,2019-01-03 17:00,1.864,0
2019-01-03 17:00,2019-01-03 18:00,1.287,0
2019-01-03 18:00,2019-01-03 19:00,0.775,0
2019-01-03 19:00,2019-01-03 20:00,0.197,0
2019-01-03 20:00,2019-01-03 21:00,-0.278,0
2019-01-03 21:00,2019-01-03 22:00,-0.607,0
2019-01-03 22:00,2019-01-03 23:00,-0.751,0
2019-01-03 23:00,2019-01-04 00:00,-0.933,0
2019-01-04 00:00,2019-01-04 01:00,-1.034,0
2019-01-04 01:00,2019-01-04 02:00,-0.978,0
2019-01-04 02:00,2019-01-04 03:00,-0.767,0
2019-01-04 03:00,2019-01-04 04:00,-0.595,0
2019-01-04 04:00,2019-01-04 05:00,-0.629,0
2019-01-04 05:00,2019-01-04 06:00,-0.647,0
