# Renewables.ninja Weather (Point API) - 59.337, 18.058 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Stockholm, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Stockholm", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "59.33744688859345", "lon": "18.057588546087295", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,swgdn
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,0.252
2019-01-01 08:00,2019-01-01 09:00,17.060
2019-01-01 09:00,2019-01-01 10:00,39.151
2019-01-01 10:00,2019-01-01 11:00,45.039
2019-01-01 11:00,2019-01-01 12:00,37.841
2019-01-01 12:00,2019-01-01 13:00,20.388
2019-01-01 13:00,2019-01-01 14:00,3.903
2019-01-01 14:00,2019-01-01 15:00,0
2019-01-01 15:00,2019-01-01 16:00,0
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,0.342
2019-01-02 08:00,2019-01-02 09:00,28.389
2019-01-02 09:00,2019-01-02 10:00,72.244
2019-01-02 10:00,2019-01-02 11:00,92.920
2019-01-02 11:00,2019-01-02 12:00,86.279
2019-01-02 12:00,2019-01-02 13:00,52.958
2019-01-02 13:00,2019-01-02 14:00,10.203
2019-01-02 14:00,2019-01-02 15:00,0
2019-01-02 15:00,2019-01-02 16:00,0
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,0.380
2019-01-03 08:00,2019-01-03 09:00,22.840
2019-01-03 09:00,2019-01-03 10:00,61.076
2019-01-03 10:00,2019-01-03 11:00,93.180
2019-01-03 11:00,2019-01-03 12:00,94.506
2019-01-03 12:00,2019-01-03 13:00,58.917
2019-01-03 13:00,2019-01-03 14:00,11.947
2019-01-03 14:00,2019-01-03 15:00,0
2019-01-03 15:00,2019-01-03 16:00,0
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,0.271
2019-01-04 08:00,2019-01-04 09:00,17.292
2019-01-04 09:00,2019-01-04 10:00,52.458
2019-01-04 10:00,2019-01-04 11:00,49.971
2019-01-04 11:00,2019-01-04 12:00,30.340
2019-01-04 12:00,2019-01-04 13:00,20.200
2019-01-04 13:00,2019-01-04 14:00,4.283
2019-01-04 14:00,2019-01-04 15:00,0
2019-01-04 15:00,2019-01-04 16:00,0
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,0.477
2019-01-05 08:00,2019-01-05 09:00,19.231
2019-01-05 09:00,2019-01-05 10:00,44.041
2019-01-05 10:00,2019-01-05 11:00,66.598
2019-01-05 11:00,2019-01-05 12:00,69.471
2019-01-05 12:00,2019-01-05 13:00,48.156
2019-01-05 13:00,2019-01-05 14:00,11.102
2019-01-05 14:00,2019-01-05 15:00,0
