# Renewables.ninja Weather (Point API) - 59.337, 18.058 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Stockholm, t2m in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Stockholm", "t2m": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "59.33744688859345", "lon": "18.057588546087295", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m
2019-01-01 00:00,2019-01-01 01:00,2.800
2019-01-01 01:00,2019-01-01 02:00,3.316
2019-01-01 02:00,2019-01-01 03:00,3.768
2019-01-01 03:00,2019-01-01 04:00,4.076
2019-01-01 04:00,2019-01-01 05:00,4.087
2019-01-01 05:00,2019-01-01 06:00,3.667
2019-01-01 06:00,2019-01-01 07:00,3.077
2019-01-01 07:00,2019-01-01 08:00,2.377
2019-01-01 08:00,2019-01-01 09:00,1.965
2019-01-01 09:00,2019-01-01 10:00,1.786
2019-01-01 10:00,2019-01-01 11:00,1.583
2019-01-01 11:00,2019-01-01 12:00,1.391
2019-01-01 12:00,2019-01-01 13:00,1.091
2019-01-01 13:00,2019-01-01 14:00,0.739
2019-01-01 14:00,2019-01-01 15:00,0.566
2019-01-01 15:00,2019-01-01 16:00,0.554
2019-01-01 16:00,2019-01-01 17:00,0.682
2019-01-01 17:00,2019-01-01 18:00,0.908
2019-01-01 18:00,2019-01-01 19:00,1.125
2019-01-01 19:00,2019-01-01 20:00,1.373
2019-01-01 20:00,2019-01-01 21:00,0.467
2019-01-01 21:00,2019-01-01 22:00,-0.621
2019-01-01 22:00,2019-01-01 23:00,-0.748
2019-01-01 23:00,2019-01-02 00:00,-0.212
2019-01-02 00:00,2019-01-02 01:00,0.349
2019-01-02 01:00,2019-01-02 02:00,0.474
2019-01-02 02:00,2019-01-02 03:00,0.043
2019-01-02 03:00,2019-01-02 04:00,-0.706
2019-01-02 04:00,2019-01-02 05:00,-1.286
2019-01-02 05:00,2019-01-02 06:00,-1.618
2019-01-02 06:00,2019-01-02 07:00,-1.716
2019-01-02 07:00,2019-01-02 08:00,-1.647
2019-01-02 08:00,2019-01-02 09:00,-1.502
2019-01-02 09:00,2019-01-02 10:00,-1.247
2019-01-02 10:00,2019-01-02 11:00,-1.015
2019-01-02 11:00,2019-01-02 12:00,-0.977
2019-01-02 12:00,2019-01-02 13:00,-1.171
2019-01-02 13:00,2019-01-02 14:00,-1.542
2019-01-02 14:00,2019-01-02 15:00,-1.944
2019-01-02 15:00,2019-01-02 16:00,-2.251
2019-01-02 16:00,2019-01-02 17:00,-2.549
2019-01-02 17:00,2019-01-02 18:00,-2.777
2019-01-02 18:00,2019-01-02 19:00,-2.940
2019-01-02 19:00,2019-01-02 20:00,-3.225
2019-01-02 20:00,2019-01-02 21:00,-3.396
2019-01-02 21:00,2019-01-02 22:00,-3.481
2019-01-02 22:00,2019-01-02 23:00,-3.618
2019-01-02 23:00,2019-01-03 00:00,-3.834
2019-01-03 00:00,2019-01-03 01:00,-3.874
2019-01-03 01:00,2019-01-03 02:00,-3.720
2019-01-03 02:00,2019-01-03 03:00,-3.834
2019-01-03 03:00,2019-01-03 04:00,-4.015
2019-01-03 04:00,2019-01-03 05:00,-4.049
2019-01-03 05:00,2019-01-03 06:00,-4.136
2019-01-03 06:00,2019-01-03 07:00,-4.268
2019-01-03 07:00,2019-01-03 08:00,-4.488
2019-01-03 08:00,2019-01-03 09:00,-4.408
2019-01-03 09:00,2019-01-03 10:00,-3.967
2019-01-03 10:00,2019-01-03 11:00,-3.437
2019-01-03 11:00,2019-01-03 12:00,-3.211
2019-01-03 12:00,2019-01-03 13:00,-3.486
2019-01-03 13:00,2019-01-03 14:00,-4.662
2019-01-03 14:00,2019-01-03 15:00,-4.539
2019-01-03 15:00,2019-01-03 16:00,-4.068
2019-01-03 16:00,2019-01-03 17:00,-3.974
2019-01-03 17:00,2019-01-03 18:00,-3.639
2019-01-03 18:00,2019-01-03 19:00,-3.275
2019-01-03 19:00,2019-01-03 20:00,-2.955
2019-01-03 20:00,2019-01-03 21:00,-2.642
2019-01-03 21:00,2019-01-03 22:00,-2.381
2019-01-03 22:00,2019-01-03 23:00,-2.142
2019-01-03 23:00,2019-01-04 00:00,-1.903
2019-01-04 00:00,2019-01-04 01:00,-1.380
2019-01-04 01:00,2019-01-04 02:00,-0.508
2019-01-04 02:00,2019-01-04 03:00,0.088
2019-01-04 03:00,2019-01-04 04:00,0.436
2019-01-04 04:00,2019-01-04 05:00,0.730
2019-01-04 05:00,2019-01-04 06:00,0.841
2019-01-04 06:00,2019-01-04 07:00,1.336
2019-01-04 07:00,2019-01-04 08:00,1.390
2019-01-04 08:00,2019-01-04 09:00,1.313
2019-01-04 09:00,2019-01-04 10:00,1.565
2019-01-04 10:00,2019-01-04 11:00,1.672
2019-01-04 11:00,2019-01-04 12:00,1.618
2019-01-04 12:00,2019-01-04 13:00,1.544
2019-01-04 13:00,2019-01-04 14:00,1.456
2019-01-04 14:00,2019-01-04 15:00,1.431
2019-01-04 15:00,2019-01-04 16:00,1.477
2019-01-04 16:00,2019-01-04 17:00,1.412
2019-01-04 17:00,2019-01-04 18:00,1.282
2019-01-04 18:00,2019-01-04 19:00,1.031
2019-01-04 19:00,2019-01-04 20:00,0.732
2019-01-04 20:00,2019-01-04 21:00,0.689
2019-01-04 21:00,2019-01-04 22:00,0.351
2019-01-04 22:00,2019-01-04 23:00,0.300
2019-01-04 23:00,2019-01-05 00:00,0.355
2019-01-05 00:00,2019-01-05 01:00,0.435
2019-01-05 01:00,2019-01-05 02:00,0.468
2019-01-05 02:00,2019-01-05 03:00,0.405
2019-01-05 03:00,2019-01-05 04:00,0.222
2019-01-05 04:00,2019-01-05 05:00,-0.022
2019-01-05 05:00,2019-01-05 06:00,-0.169
2019-01-05 06:00,2019-01-05 07:00,-0.241
2019-01-05 07:00,2019-01-05 08:00,-0.352
2019-01-05 08:00,2019-01-05 09:00,-0.401
2019-01-05 09:00,2019-01-05 10:00,-0.229
2019-01-05 10:00,2019-01-05 11:00,0.026
2019-01-05 11:00,2019-01-05 12:00,0.157
2019-01-05 12:00,2019-01-05 13:00,0.056
