# Renewables.ninja Weather (Point API) - 46.992, 8.595 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Zurich, t2m in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Zurich", "t2m": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "46.992200436426145", "lon": "8.594821066101344", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m
2019-01-01 00:00,2019-01-01 01:00,-3.652
2019-01-01 01:00,2019-01-01 02:00,-4.322
2019-01-01 02:00,2019-01-01 03:00,-4.508
2019-01-01 03:00,2019-01-01 04:00,-4.439
2019-01-01 04:00,2019-01-01 05:00,-4.154
2019-01-01 05:00,2019-01-01 06:00,-3.577
2019-01-01 06:00,2019-01-01 07:00,-2.514
2019-01-01 07:00,2019-01-01 08:00,-1.410
2019-01-01 08:00,2019-01-01 09:00,-0.051
2019-01-01 09:00,2019-01-01 10:00,0.901
2019-01-01 10:00,2019-01-01 11:00,1.987
2019-01-01 11:00,2019-01-01 12:00,2.683
2019-01-01 12:00,2019-01-01 13:00,2.739
2019-01-01 13:00,2019-01-01 14:00,2.152
2019-01-01 14:00,2019-01-01 15:00,0.515
2019-01-01 15:00,2019-01-01 16:00,-1.660
2019-01-01 16:00,2019-01-01 17:00,-2.292
2019-01-01 17:00,2019-01-01 18:00,-2.460
2019-01-01 18:00,2019-01-01 19:00,-2.694
2019-01-01 19:00,2019-01-01 20:00,-3.022
2019-01-01 20:00,2019-01-01 21:00,-3.427
2019-01-01 21:00,2019-01-01 22:00,-3.080
2019-01-01 22:00,2019-01-01 23:00,-2.888
2019-01-01 23:00,2019-01-02 00:00,-3.077
2019-01-02 00:00,2019-01-02 01:00,-3.251
2019-01-02 01:00,2019-01-02 02:00,-3.142
2019-01-02 02:00,2019-01-02 03:00,-3.160
2019-01-02 03:00,2019-01-02 04:00,-3.142
2019-01-02 04:00,2019-01-02 05:00,-3.210
2019-01-02 05:00,2019-01-02 06:00,-3.628
2019-01-02 06:00,2019-01-02 07:00,-4.079
2019-01-02 07:00,2019-01-02 08:00,-4.136
2019-01-02 08:00,2019-01-02 09:00,-3.796
2019-01-02 09:00,2019-01-02 10:00,-3.551
2019-01-02 10:00,2019-01-02 11:00,-3.409
2019-01-02 11:00,2019-01-02 12:00,-3.368
2019-01-02 12:00,2019-01-02 13:00,-3.419
2019-01-02 13:00,2019-01-02 14:00,-3.586
2019-01-02 14:00,2019-01-02 15:00,-3.913
2019-01-02 15:00,2019-01-02 16:00,-4.505
2019-01-02 16:00,2019-01-02 17:00,-4.802
2019-01-02 17:00,2019-01-02 18:00,-4.740
2019-01-02 18:00,2019-01-02 19:00,-4.710
2019-01-02 19:00,2019-01-02 20:00,-4.832
2019-01-02 20:00,2019-01-02 21:00,-5.233
2019-01-02 21:00,2019-01-02 22:00,-5.650
2019-01-02 22:00,2019-01-02 23:00,-6.217
2019-01-02 23:00,2019-01-03 00:00,-6.778
2019-01-03 00:00,2019-01-03 01:00,-7.346
2019-01-03 01:00,2019-01-03 02:00,-7.683
2019-01-03 02:00,2019-01-03 03:00,-8.011
2019-01-03 03:00,2019-01-03 04:00,-8.342
2019-01-03 04:00,2019-01-03 05:00,-8.483
2019-01-03 05:00,2019-01-03 06:00,-8.749
2019-01-03 06:00,2019-01-03 07:00,-9.012
2019-01-03 07:00,2019-01-03 08:00,-8.921
2019-01-03 08:00,2019-01-03 09:00,-7.965
2019-01-03 09:00,2019-01-03 10:00,-6.525
2019-01-03 10:00,2019-01-03 11:00,-5.562
2019-01-03 11:00,2019-01-03 12:00,-5.077
2019-01-03 12:00,2019-01-03 13:00,-4.929
2019-01-03 13:00,2019-01-03 14:00,-5.121
2019-01-03 14:00,2019-01-03 15:00,-5.676
2019-01-03 15:00,2019-01-03 16:00,-6.856
2019-01-03 16:00,2019-01-03 17:00,-7.938
2019-01-03 17:00,2019-01-03 18:00,-8.530
2019-01-03 18:00,2019-01-03 19:00,-8.685
2019-01-03 19:00,2019-01-03 20:00,-8.563
2019-01-03 20:00,2019-01-03 21:00,-8.354
2019-01-03 21:00,2019-01-03 22:00,-8.131
2019-01-03 22:00,2019-01-03 23:00,-8.124
2019-01-03 23:00,2019-01-04 00:00,-7.986
2019-01-04 00:00,2019-01-04 01:00,-7.709
2019-01-04 01:00,2019-01-04 02:00,-7.653
2019-01-04 02:00,2019-01-04 03:00,-7.706
2019-01-04 03:00,2019-01-04 04:00,-7.613
2019-01-04 04:00,2019-01-04 05:00,-7.715
2019-01-04 05:00,2019-01-04 06:00,-8.117
2019-01-04 06:00,2019-01-04 07:00,-8.369
2019-01-04 07:00,2019-01-04 08:00,-8.385
2019-01-04 08:00,2019-01-04 09:00,-7.278
2019-01-04 09:00,2019-01-04 10:00,-5.519
2019-01-04 10:00,2019-01-04 11:00,-4.477
2019-01-04 11:00,2019-01-04 12:00,-3.751
2019-01-04 12:00,2019-01-04 13:00,-3.170
2019-01-04 13:00,2019-01-04 14:00,-2.961
2019-01-04 14:00,2019-01-04 15:00,-3.250
2019-01-04 15:00,2019-01-04 16:00,-4.254
2019-01-04 16:00,2019-01-04 17:00,-4.992
2019-01-04 17:00,2019-01-04 18:00,-5.250
2019-01-04 18:00,2019-01-04 19:00,-5.564
2019-01-04 19:00,2019-01-04 20:00,-5.723
2019-01-04 20:00,2019-01-04 21:00,-5.763
2019-01-04 21:00,2019-01-04 22:00,-6.044
2019-01-04 22:00,2019-01-04 23:00,-6.361
2019-01-04 23:00,2019-01-05 00:00,-6.484
2019-01-05 00:00,2019-01-05 01:00,-6.427
2019-01-05 01:00,2019-01-05 02:00,-6.490
2019-01-05 02:00,2019-01-05 03:00,-6.616
2019-01-05 03:00,2019-01-05 04:00,-6.832
2019-01-05 04:00,2019-01-05 05:00,-6.831
2019-01-05 05:00,2019-01-05 06:00,-6.953
2019-01-05 06:00,2019-01-05 07:00,-7.040
2019-01-05 07:00,2019-01-05 08:00,-6.627
2019-01-05 08:00,2019-01-05 09:00,-5.485
2019-01-05 09:00,2019-01-05 10:00,-4.166
2019-01-05 10:00,2019-01-05 11:00,-3.389
2019-01-05 11:00,2019-01-05 12:00,-2.728
2019-01-05 12:00,2019-01-05 13:00,-2.299
2019-01-05 13:00,2019-01-05 14:00,-2.208
2019-01-05 14:00,2019-01-05 15:00,-2.398
2019-01-05 15:00,2019-01-05 16:00,-2.931
2019-01-05 16:00,2019-01-05 17:00,-3.527
2019-01-05 17:00,2019-01-05 18:00,-3.963
2019-01-05 18:00,2019-01-05 19:00,-4.352
2019-01-05 19:00,2019-01-05 20:00,-4.610
2019-01-05 20:00,2019-01-05 21:00,-4.684
2019-01-05 21:00,2019-01-05 22:00,-4.834
2019-01-05 22:00,2019-01-05 23:00,-4.885
